1746087990.5338612 N:   78, t: 29249341, dt: 18779, ENC_DEG: 48.36, REF:  0.00, VEL_RAW: -1.17, VEL_AVG: -0.03, I: -27.78, D: -0.01, VEL_OUT: -55.98, MS_MPC: 29273.47, ax:  0.02, ay:  0.01, az:  1.01, gx:  0.40, gy: -0.82, gz:  0.15, OX: -0.05
1746087990.5391586 N:   79, t: 29267707, dt: 18366, ENC_DEG: 48.32, REF:  0.00, VEL_RAW: -2.39, VEL_AVG: -0.23, I: -28.01, D: -0.20, VEL_OUT: -60.31, MS_MPC: 29270.39, ax:  0.02, ay:  0.01, az:  1.01, gx:  0.15, gy: -0.52, gz:  0.76, OX: -0.00
1746087990.5948176 N:   80, t: 29287699, dt: 19992, ENC_DEG: 48.34, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.14, I: -28.15, D:  0.09, VEL_OUT: -56.76, MS_MPC: 29271.93, ax:  0.02, ay:  0.02, az:  1.00, gx: -0.09, gy:  0.09, gz:  1.37, OX:  0.09
1746087990.6008086 N:   81, t: 29308691, dt: 20992, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  2.09, VEL_AVG: -0.15, I: -28.29, D: -0.01, VEL_OUT: -58.11, MS_MPC: 29275.01, ax:  0.03, ay:  0.02, az:  1.00, gx: -0.15, gy: -0.09, gz:  1.07, OX:  0.06
1746087990.606789  N:   82, t: 29328881, dt: 20190, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.23, I: -28.53, D: -0.09, VEL_OUT: -60.22, MS_MPC: 29271.93, ax:  0.02, ay:  0.02, az:  1.00, gx: -0.15, gy: -1.01, gz:  0.70, OX: -0.05
1746087990.653664  N:   83, t: 29347503, dt: 18622, ENC_DEG: 48.32, REF:  0.00, VEL_RAW: -1.18, VEL_AVG: -0.40, I: -28.93, D: -0.17, VEL_OUT: -63.57, MS_MPC: 29270.39, ax:  0.01, ay:  0.02, az:  1.00, gx: -0.03, gy: -0.95, gz:  0.27, OX: -0.02
1746087990.658832  N:   84, t: 29371529, dt: 24026, ENC_DEG: 48.36, REF:  0.00, VEL_RAW:  1.83, VEL_AVG: -0.13, I: -29.06, D:  0.27, VEL_OUT: -56.68, MS_MPC: 29273.47, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.09, gy: -0.58, gz:  0.27, OX: -0.02
1746087990.6649175 N:   85, t: 29389830, dt: 18301, ENC_DEG: 48.41, REF:  0.00, VEL_RAW:  2.40, VEL_AVG:  0.27, I: -29.33, D: -0.14, VEL_OUT: -62.78, MS_MPC: 29276.54, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.03, gy: -0.21, gz:  0.64, OX:  0.11
1746087990.7146974 N:   86, t: 29407570, dt: 17740, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -3.72, VEL_AVG: -0.28, I: -29.61, D: -0.01, VEL_OUT: -62.18, MS_MPC: 29271.93, ax:  0.02, ay:  0.03, az:  1.00, gx:  0.21, gy: -0.34, gz:  0.64, OX:  0.08
1746087990.7206779 N:   87, t: 29428994, dt: 21424, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  2.05, VEL_AVG: -0.11, I: -29.72, D:  0.17, VEL_OUT: -58.86, MS_MPC: 29275.01, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.46, gy: -0.70, gz:  0.09, OX: -0.03
1746087990.725923  N:   88, t: 29448027, dt: 19033, ENC_DEG: 48.32, REF:  0.00, VEL_RAW: -3.46, VEL_AVG: -0.31, I: -30.03, D: -0.19, VEL_OUT: -65.03, MS_MPC: 29270.39, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.70, gy: -0.89, gz: -0.46, OX: -0.09
1746087990.773877  N:   89, t: 29468669, dt: 20642, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  3.19, VEL_AVG: -0.12, I: -30.15, D:  0.19, VEL_OUT: -59.63, MS_MPC: 29275.01, ax:  0.02, ay:  0.01, az:  1.01, gx:  0.52, gy: -1.01, gz: -0.70, OX: -0.08
1746087990.8315618 N:   90, t: 29488781, dt: 20112, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -30.17, D:  0.10, VEL_OUT: -59.58, MS_MPC: 29275.01, ax:  0.02, ay:  0.00, az:  1.01, gx:  0.46, gy: -0.89, gz:  0.03, OX: -0.03
1746087990.8368037 N:   91, t: 29509032, dt: 20251, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.00, I: -30.17, D:  0.02, VEL_OUT: -60.19, MS_MPC: 29271.93, ax:  0.02, ay:  0.00, az:  1.01, gx:  0.21, gy: -0.76, gz:  0.82, OX:  0.01
1746087990.8428047 N:   92, t: 29533726, dt: 24694, ENC_DEG: 48.36, REF:  0.00, VEL_RAW:  0.89, VEL_AVG: -0.02, I: -30.19, D: -0.02, VEL_OUT: -60.77, MS_MPC: 29273.47, ax:  0.02, ay:  0.03, az:  1.00, gx: -0.21, gy: -0.27, gz:  1.80, OX:  0.35
1746087990.8489401 N:   93, t: 29549993, dt: 16267, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -1.35, VEL_AVG: -0.31, I: -30.50, D: -0.29, VEL_OUT: -66.95, MS_MPC: 29271.93, ax:  0.02, ay:  0.03, az:  1.00, gx:  0.09, gy: -0.27, gz:  1.31, OX:  0.04
