1746087206.098545  N:   78, t: 81026473, dt: 19085, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -14.22, D:  0.01, VEL_OUT: -30.73, MS_MPC: 25183.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.40, gy:  0.12, gz: -0.37, OX: -0.02
1746087206.104528  N:   80, t: 81071690, dt: 25995, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  1.69, VEL_AVG:  0.22, I: -14.60, D: -0.05, VEL_OUT: -31.91, MS_MPC: 25192.38, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.09, gy:  0.37, gz:  0.73, OX:  0.03
1746087206.2023556 N:   81, t: 81086928, dt: 15238, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -2.89, VEL_AVG: -0.12, I: -14.72, D:  0.10, VEL_OUT: -29.59, MS_MPC: 25183.81, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.15, gy:  0.49, gz:  1.22, OX:  0.03
1746087206.208361  N:   82, t: 81112156, dt: 25228, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -14.83, D:  0.00, VEL_OUT: -30.83, MS_MPC: 25183.81, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.09, gy:  0.55, gz:  1.10, OX:  0.03
1746087206.2147503 N:   83, t: 81130396, dt: 18240, ENC_DEG: 19.16, REF:  0.00, VEL_RAW: -2.41, VEL_AVG: -0.21, I: -15.04, D: -0.09, VEL_OUT: -33.15, MS_MPC: 25175.23, ax: -0.00, ay:  0.01, az:  0.99, gx:  0.27, gy:  0.24, gz:  0.61, OX:  0.01
1746087206.220302  N:   84, t: 81146395, dt: 15999, ENC_DEG: 19.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -15.26, D:  0.00, VEL_OUT: -32.62, MS_MPC: 25175.23, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.21, gy:  0.18, gz:  0.49, OX: -0.02
1746087206.2272892 N:   86, t: 81187056, dt: 20572, ENC_DEG: 19.18, REF:  0.00, VEL_RAW: -3.21, VEL_AVG: -0.37, I: -15.78, D: -0.22, VEL_OUT: -37.39, MS_MPC: 25179.52, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.40, gy:  0.18, gz:  0.06, OX: -0.00
1746087206.2634478 N:   87, t: 81208399, dt: 21343, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  1.03, VEL_AVG: -0.28, I: -16.06, D:  0.09, VEL_OUT: -34.08, MS_MPC: 25183.81, ax: -0.00, ay:  0.01, az:  0.99, gx:  0.70, gy: -0.43, gz: -0.67, OX:  0.01
1746087206.2698252 N:   88, t: 81227142, dt: 18743, ENC_DEG: 19.29, REF:  0.00, VEL_RAW:  4.69, VEL_AVG:  0.27, I: -16.33, D:  0.01, VEL_OUT: -35.29, MS_MPC: 25200.94, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.58, gy: -0.67, gz: -1.16, OX: -0.01
1746087206.3237705 N:   89, t: 81248388, dt: 21246, ENC_DEG: 19.18, REF:  0.00, VEL_RAW: -5.17, VEL_AVG: -0.16, I: -16.49, D:  0.11, VEL_OUT: -33.41, MS_MPC: 25179.52, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.89, gy: -0.61, gz: -1.28, OX: -0.12
