1746089639.7930481 N:   68, t: 30871468, dt: 20377, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  4.31, VEL_AVG:  0.41, I: -14.97, D: -0.23, VEL_OUT: -36.26, MS_MPC: 26894.98, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.12, gz: -0.15, OX: -0.01
1746089639.799214  N:   70, t: 30911112, dt: 18334, ENC_DEG: 28.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -15.25, D: -0.12, VEL_OUT: -33.71, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.00, gz: -0.34, OX: -0.01
1746089639.838352  N:   71, t: 30931409, dt: 20297, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.10, I: -15.35, D:  0.10, VEL_OUT: -30.67, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.18, gz: -0.09, OX: -0.00
1746089639.8435168 N:   72, t: 30950749, dt: 19340, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.02, I: -15.37, D:  0.08, VEL_OUT: -30.11, MS_MPC: 26884.18, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.31, gz:  0.27, OX:  0.02
1746089639.8496337 N:   73, t: 30971459, dt: 20710, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  2.12, VEL_AVG: -0.08, I: -15.45, D: -0.06, VEL_OUT: -32.30, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.18, gz:  0.09, OX: -0.01
1746089639.899624  N:   74, t: 30991023, dt: 19564, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.00, I: -15.45, D:  0.08, VEL_OUT: -30.15, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.31, gz: -0.03, OX: -0.00
1746089639.9056053 N:   75, t: 31012396, dt: 21373, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.16, I: -15.61, D: -0.16, VEL_OUT: -34.42, MS_MPC: 26884.18, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.24, gz: -0.15, OX: -0.00
1746089639.9106526 N:   76, t: 31032472, dt: 20076, ENC_DEG: 28.68, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.07, I: -15.68, D:  0.09, VEL_OUT: -31.15, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.18, gz:  0.27, OX:  0.00
1746089639.9575627 N:   77, t: 31053169, dt: 20697, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.02, I: -15.70, D:  0.05, VEL_OUT: -31.08, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.12, gz:  0.27, OX:  0.00
1746089639.963616  N:   78, t: 31070492, dt: 17323, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.37, I: -16.07, D: -0.35, VEL_OUT: -39.38, MS_MPC: 26894.98, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.24, gz: -0.03, OX: -0.00
1746089639.9704807 N:   79, t: 31092329, dt: 21837, ENC_DEG: 28.63, REF:  0.00, VEL_RAW: -4.03, VEL_AVG:  0.04, I: -16.11, D:  0.34, VEL_OUT: -29.21, MS_MPC: 26880.58, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.12, gz:  0.15, OX: -0.01
1746089640.017796  N:   80, t: 31115516, dt: 23187, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  2.84, VEL_AVG: -0.09, I: -16.19, D: -0.05, VEL_OUT: -33.78, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.12, gz:  0.03, OX: -0.01
1746089640.0238178 N:   81, t: 31132690, dt: 17174, ENC_DEG: 28.61, REF:  0.00, VEL_RAW: -5.12, VEL_AVG: -0.34, I: -16.54, D: -0.25, VEL_OUT: -39.03, MS_MPC: 26876.98, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.24, gz:  0.09, OX: -0.01
1746089640.0297651 N:   82, t: 31149912, dt: 17222, ENC_DEG: 28.74, REF:  0.00, VEL_RAW:  7.64, VEL_AVG:  0.29, I: -16.83, D:  0.05, VEL_OUT: -36.14, MS_MPC: 26898.57, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.00, gz:  0.40, OX:  0.01
