1746005246.2349684 N:   82, t: 55003822, dt: 19201, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -10.67, D: -0.10, VEL_OUT: -24.22, MS_MPC: 25703.98, ax: -0.01, ay:  0.01, az:  1.01, gx:  0.18, gy:  1.46, gz: -0.12, OX: -0.01
1746005246.2409086 N:   83, t: 55025610, dt: 21788, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -2.02, VEL_AVG: -0.07, I: -10.74, D:  0.12, VEL_OUT: -20.93, MS_MPC: 25695.77, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.12, gy:  1.34, gz: -0.55, OX: -0.01
1746005246.3349156 N:   84, t: 55043813, dt: 18203, ENC_DEG: 21.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -10.76, D:  0.05, VEL_OUT: -21.30, MS_MPC: 25695.77, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.06, gy:  1.34, gz: -0.85, OX: -0.01
1746005246.340895  N:   85, t: 55065184, dt: 21371, ENC_DEG: 21.95, REF:  0.00, VEL_RAW:  3.08, VEL_AVG:  0.19, I: -10.95, D: -0.17, VEL_OUT: -25.48, MS_MPC: 25708.08, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.37, gy:  0.98, gz: -0.92, OX: -0.01
1746005246.3459024 N:   86, t: 55083598, dt: 18414, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -2.39, VEL_AVG:  0.08, I: -11.04, D:  0.11, VEL_OUT: -21.86, MS_MPC: 25699.88, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.31, gy:  0.85, gz: -1.10, OX: -0.00
1746005246.3518636 N:   87, t: 55103927, dt: 20329, ENC_DEG: 21.95, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.08, I: -11.12, D:  0.00, VEL_OUT: -23.08, MS_MPC: 25708.08, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.00, gz: -1.34, OX:  0.01
1746005246.3598418 N:   89, t: 55145770, dt: 21741, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -11.24, D:  0.07, VEL_OUT: -21.97, MS_MPC: 25699.88, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.06, gy: -0.79, gz: -1.89, OX: -0.01
1746005246.3957627 N:   90, t: 55164039, dt: 18269, ENC_DEG: 21.86, REF:  0.00, VEL_RAW: -2.41, VEL_AVG: -0.41, I: -11.66, D: -0.39, VEL_OUT: -31.36, MS_MPC: 25691.67, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.18, gy: -0.98, gz: -1.59, OX: -0.02
1746005246.4017653 N:   91, t: 55185056, dt: 21017, ENC_DEG: 21.95, REF:  0.00, VEL_RAW:  4.18, VEL_AVG:  0.03, I: -11.68, D:  0.39, VEL_OUT: -19.74, MS_MPC: 25708.08, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.06, gy: -1.40, gz: -1.46, OX:  0.02
1746005246.4550335 N:   92, t: 55206831, dt: 21775, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -2.02, VEL_AVG: -0.04, I: -11.72, D: -0.01, VEL_OUT: -23.92, MS_MPC: 25699.88, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.00, gy: -1.40, gz: -1.10, OX:  0.01
