1746537145.273299  N:   96, t: 30254075, dt: 24228, ENC_DEG:  3.41, REF:  0.00, VEL_RAW:  0.91, VEL_AVG: -0.22, I: -12.86, D: -0.14, VEL_OUT: -29.25, MS_MPC: 21761.48, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.67, gy:  0.85, gz:  0.67, OX:  0.03
1746537145.2788224 N:   97, t: 30275073, dt: 20998, ENC_DEG:  3.41, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -13.00, D:  0.07, VEL_OUT: -26.68, MS_MPC: 21761.48, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.49, gy:  0.85, gz:  0.92, OX: -0.04
1746537145.2850194 N:   98, t: 30290222, dt: 15149, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  2.90, VEL_AVG:  0.10, I: -13.10, D:  0.04, VEL_OUT: -26.75, MS_MPC: 21771.86, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.43, gy:  0.85, gz:  0.98, OX: -0.03
1746537145.291005  N:   99, t: 30315050, dt: 24828, ENC_DEG:  3.36, REF:  0.00, VEL_RAW: -3.54, VEL_AVG:  0.15, I: -13.25, D: -0.05, VEL_OUT: -28.47, MS_MPC: 21751.10, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.37, gy:  0.85, gz:  1.34, OX:  0.03
1746537145.2960153 N:  101, t: 30354791, dt: 24606, ENC_DEG:  3.39, REF:  0.00, VEL_RAW: -2.68, VEL_AVG: -0.00, I: -13.47, D:  0.21, VEL_OUT: -24.85, MS_MPC: 21756.29, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.18, gy:  1.04, gz:  0.98, OX: -0.02
1746537145.3031175 N:  102, t: 30372066, dt: 17275, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  5.09, VEL_AVG:  0.32, I: -13.79, D: -0.31, VEL_OUT: -33.90, MS_MPC: 21777.05, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.49, gz:  0.61, OX: -0.03
1746537145.334319  N:  103, t: 30395308, dt: 23242, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -1.89, VEL_AVG:  0.32, I: -14.10, D:  0.00, VEL_OUT: -31.35, MS_MPC: 21766.67, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.06, gz:  0.31, OX: -0.04
1746537145.3411865 N:  104, t: 30411368, dt: 16060, ENC_DEG:  3.43, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.53, I: -14.63, D: -0.21, VEL_OUT: -36.71, MS_MPC: 21766.67, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.00, gz:  0.49, OX: -0.01
1746537145.39647   N:  105, t: 30430068, dt: 18700, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  2.35, VEL_AVG:  0.37, I: -15.00, D:  0.16, VEL_OUT: -32.06, MS_MPC: 21777.05, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.31, gz:  0.24, OX:  0.03
1746537145.4018385 N:  106, t: 30455456, dt: 25388, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -1.73, VEL_AVG:  0.22, I: -15.23, D:  0.14, VEL_OUT: -31.25, MS_MPC: 21766.67, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.49, gz:  0.18, OX:  0.02
1746537145.407947  N:  107, t: 30471642, dt: 16186, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  1.36, VEL_AVG:  0.71, I: -15.94, D: -0.49, VEL_OUT: -43.93, MS_MPC: 21771.86, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.43, gz:  0.18, OX:  0.06
1746537145.4543037 N:  108, t: 30493056, dt: 21414, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.55, I: -16.49, D:  0.16, VEL_OUT: -36.91, MS_MPC: 21766.67, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.55, gz: -0.00, OX: -0.02
