1746017175.9582102 N:   68, t: 43912432, dt: 17767, ENC_DEG: 61.04, REF:  0.00, VEL_RAW: -1.24, VEL_AVG:  0.05, I: -10.92, D:  0.10, VEL_OUT: -21.27, MS_MPC: 29564.93, ax:  0.06, ay: -0.00, az:  0.98, gx: -1.50, gy:  0.37, gz:  1.04, OX:  0.04
1746017176.0147083 N:   69, t: 43932140, dt: 19708, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  1.11, VEL_AVG:  0.14, I: -11.06, D: -0.09, VEL_OUT: -24.44, MS_MPC: 29564.21, ax:  0.06, ay:  0.00, az:  0.98, gx: -1.56, gy: -0.18, gz:  0.98, OX:  0.06
1746017176.0206952 N:   70, t: 43953916, dt: 21776, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -2.02, VEL_AVG: -0.13, I: -11.19, D:  0.01, VEL_OUT: -23.50, MS_MPC: 29565.65, ax:  0.05, ay:  0.01, az:  0.98, gx: -1.43, gy: -0.67, gz:  0.85, OX:  0.03
1746017176.0266755 N:   71, t: 43973424, dt: 19508, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  2.25, VEL_AVG: -0.12, I: -11.30, D:  0.01, VEL_OUT: -23.70, MS_MPC: 29564.21, ax:  0.05, ay: -0.00, az:  0.98, gx: -1.43, gy: -1.04, gz:  0.24, OX: -0.03
1746017176.0326579 N:   72, t: 43993520, dt: 20096, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.24, I: -11.55, D: -0.12, VEL_OUT: -26.76, MS_MPC: 29564.21, ax:  0.05, ay:  0.00, az:  0.98, gx: -1.62, gy: -1.28, gz:  0.12, OX:  0.01
1746017176.3143723 N:   73, t: 44013454, dt: 19934, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -2.20, VEL_AVG: -0.03, I: -11.58, D:  0.21, VEL_OUT: -21.36, MS_MPC: 29565.65, ax:  0.05, ay: -0.00, az:  0.99, gx: -1.43, gy: -1.65, gz:  0.37, OX:  0.04
1746017176.3213274 N:   74, t: 44032094, dt: 18640, ENC_DEG: 61.00, REF:  0.00, VEL_RAW: -1.18, VEL_AVG: -0.13, I: -11.71, D: -0.10, VEL_OUT: -25.69, MS_MPC: 29566.36, ax:  0.06, ay:  0.01, az:  0.98, gx: -1.80, gy: -1.77, gz:  0.31, OX: -0.04
1746017176.3273056 N:   75, t: 44057746, dt: 25652, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  2.57, VEL_AVG:  0.17, I: -11.88, D: -0.04, VEL_OUT: -25.96, MS_MPC: 29564.21, ax:  0.06, ay: -0.00, az:  0.99, gx: -1.74, gy: -1.83, gz:  0.12, OX: -0.01
1746017176.334287  N:   76, t: 44073378, dt: 15632, ENC_DEG: 60.98, REF:  0.00, VEL_RAW: -5.62, VEL_AVG: -0.20, I: -12.09, D: -0.03, VEL_OUT: -26.52, MS_MPC: 29567.07, ax:  0.06, ay:  0.00, az:  0.99, gx: -1.31, gy: -1.71, gz:  0.31, OX:  0.01
1746017176.3402698 N:   80, t: 44153670, dt: 21390, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  1.03, VEL_AVG: -0.11, I: -12.97, D:  0.19, VEL_OUT: -25.15, MS_MPC: 29564.21, ax:  0.05, ay:  0.01, az:  0.99, gx: -0.58, gy: -1.34, gz: -0.37, OX: -0.08
1746017176.3797438 N:   81, t: 44312761, dt: 159091, ENC_DEG: 61.00, REF:  0.00, VEL_RAW: -0.41, VEL_AVG: -0.24, I: -13.21, D: -0.13, VEL_OUT: -30.06, MS_MPC: 29566.36, ax:  0.05, ay:  0.01, az:  1.00, gx: -1.01, gy: -0.06, gz:  0.79, OX:  0.05
1746017176.4385924 N:   82, t: 44332929, dt: 20168, ENC_DEG: 61.04, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.11, I: -13.32, D:  0.12, VEL_OUT: -26.54, MS_MPC: 29564.93, ax:  0.05, ay:  0.01, az:  0.99, gx: -0.58, gy: -0.18, gz:  0.31, OX: -0.01
1746017176.4446177 N:   83, t: 44352364, dt: 19435, ENC_DEG: 60.98, REF:  0.00, VEL_RAW: -3.39, VEL_AVG: -0.36, I: -13.68, D: -0.24, VEL_OUT: -33.38, MS_MPC: 29567.07, ax:  0.05, ay:  0.01, az:  0.99, gx: -0.27, gy: -0.49, gz: -0.37, OX: -0.04
