1746024876.1795282 N:   61, t: 27061460, dt: 25715, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -2.56, VEL_AVG: -0.26, I: -13.76, D: -0.14, VEL_OUT: -31.58, MS_MPC: 27027.58, ax: -0.03, ay:  0.02, az:  0.98, gx: -0.98, gy:  1.46, gz:  2.08, OX:  0.09
1746024876.1855123 N:   62, t: 27077626, dt: 16166, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -1.36, VEL_AVG: -0.15, I: -13.91, D:  0.11, VEL_OUT: -28.26, MS_MPC: 27034.38, ax: -0.02, ay:  0.02, az:  0.97, gx: -0.92, gy:  1.10, gz:  1.22, OX: -0.03
1746024876.1924913 N:   63, t: 27098075, dt: 20449, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  4.30, VEL_AVG:  0.03, I: -13.94, D:  0.13, VEL_OUT: -26.90, MS_MPC: 27007.13, ax: -0.01, ay:  0.01, az:  0.97, gx: -0.55, gy: -0.67, gz: -0.43, OX: -0.05
1746024876.2922268 N:   64, t: 27118342, dt: 20267, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -14.16, D: -0.19, VEL_OUT: -32.45, MS_MPC: 27007.13, ax: -0.01, ay:  0.01, az:  0.98, gx: -0.37, gy: -1.53, gz: -0.92, OX:  0.01
1746024876.2982109 N:   65, t: 27139338, dt: 20996, ENC_DEG: 77.87, REF:  0.00, VEL_RAW: -1.05, VEL_AVG:  0.13, I: -14.30, D:  0.09, VEL_OUT: -29.05, MS_MPC: 27013.95, ax: -0.00, ay:  0.00, az:  0.99, gx: -0.31, gy: -2.32, gz: -1.28, OX: -0.12
1746024876.3041952 N:   66, t: 27156535, dt: 17197, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.06, I: -14.36, D:  0.07, VEL_OUT: -28.68, MS_MPC: 27007.13, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.55, gy: -2.56, gz: -0.98, OX:  0.02
1746024876.3101783 N:   67, t: 27178050, dt: 21515, ENC_DEG: 77.85, REF:  0.00, VEL_RAW: -2.04, VEL_AVG:  0.01, I: -14.37, D:  0.05, VEL_OUT: -28.40, MS_MPC: 27020.77, ax: -0.00, ay:  0.00, az:  0.99, gx: -0.73, gy: -2.32, gz: -0.31, OX:  0.01
1746024876.3161635 N:   69, t: 27219752, dt: 22437, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -2.94, VEL_AVG:  0.22, I: -14.80, D: -0.01, VEL_OUT: -31.91, MS_MPC: 27027.58, ax: -0.01, ay:  0.00, az:  0.99, gx:  0.24, gy: -2.32, gz: -0.43, OX:  0.02
1746024876.3221447 N:   70, t: 27237797, dt: 18045, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -15.02, D:  0.00, VEL_OUT: -32.22, MS_MPC: 27027.58, ax: -0.01, ay:  0.00, az:  1.00, gx:  0.67, gy: -2.38, gz: -0.55, OX:  0.01
1746024876.3540745 N:   71, t: 27256670, dt: 18873, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.07, I: -15.09, D:  0.15, VEL_OUT: -29.40, MS_MPC: 27034.38, ax: -0.01, ay:  0.00, az:  1.00, gx:  1.16, gy: -2.44, gz: -0.55, OX:  0.05
