1746526905.095767  N:   76, t: 41291001, dt: 20251, ENC_DEG: 40.17, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.08, I: -13.79, D:  0.18, VEL_OUT: -26.59, MS_MPC: 28505.33, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.27, gz:  0.37, OX:  0.06
1746526905.1017468 N:   77, t: 41312740, dt: 21739, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -2.02, VEL_AVG: -0.35, I: -14.14, D: -0.27, VEL_OUT: -34.45, MS_MPC: 28500.25, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.15, gz: -0.18, OX: -0.06
1746526905.1493826 N:   78, t: 41330885, dt: 18145, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.05, I: -14.19, D:  0.30, VEL_OUT: -25.87, MS_MPC: 28502.79, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.40, gz: -0.24, OX:  0.01
1746526905.2048972 N:   79, t: 41354016, dt: 23131, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -14.32, D: -0.08, VEL_OUT: -30.71, MS_MPC: 28502.79, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.34, gz: -0.24, OX: -0.00
1746526905.2105937 N:   80, t: 41373267, dt: 19251, ENC_DEG: 40.10, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.14, I: -14.46, D: -0.02, VEL_OUT: -30.53, MS_MPC: 28497.71, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.27, gz: -0.18, OX:  0.03
1746526905.2169127 N:   81, t: 41390702, dt: 17435, ENC_DEG: 40.19, REF:  0.00, VEL_RAW:  5.04, VEL_AVG:  0.37, I: -14.83, D: -0.23, VEL_OUT: -35.66, MS_MPC: 28507.87, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.09, gz: -0.31, OX: -0.01
1746526905.2229    N:   82, t: 41410999, dt: 20297, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.08, I: -14.91, D:  0.29, VEL_OUT: -27.70, MS_MPC: 28502.79, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.31, gy: -0.09, gz: -0.49, OX: -0.05
1746526905.228914  N:   83, t: 41433349, dt: 22350, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -0.98, VEL_AVG: -0.05, I: -14.97, D:  0.02, VEL_OUT: -30.24, MS_MPC: 28500.25, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.00, gy: -0.34, gz: -0.61, OX: -0.02
1746526905.269821  N:   84, t: 41451336, dt: 17987, ENC_DEG: 40.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -15.02, D:  0.00, VEL_OUT: -30.59, MS_MPC: 28500.25, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.06, gy: -0.09, gz: -0.12, OX:  0.05
1746526905.27575   N:   85, t: 41474627, dt: 23291, ENC_DEG: 40.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -15.15, D: -0.07, VEL_OUT: -32.33, MS_MPC: 28500.25, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.03, gz:  0.18, OX:  0.01
1746526905.2821002 N:   86, t: 41491749, dt: 17122, ENC_DEG: 40.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -15.18, D:  0.10, VEL_OUT: -29.63, MS_MPC: 28500.25, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.49, gy:  0.40, gz:  0.37, OX:  0.10
1746526905.3894029 N:   87, t: 41513010, dt: 21261, ENC_DEG: 40.21, REF:  0.00, VEL_RAW:  4.13, VEL_AVG:  0.43, I: -15.61, D: -0.40, VEL_OUT: -39.44, MS_MPC: 28510.40, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.61, gy:  0.76, gz: -0.37, OX: -0.04
1746526905.3955867 N:   88, t: 41531320, dt: 18310, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -3.60, VEL_AVG: -0.06, I: -15.66, D:  0.37, VEL_OUT: -28.18, MS_MPC: 28502.79, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.61, gy:  0.52, gz: -0.43, OX: -0.07
