1746010456.3379543 N:  103, t: 31009882, dt: 2949, ENC_DEG: 77.41, REF:  0.00, VEL_RAW: -29.80, VEL_AVG: -17.32, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.343933  N:  104, t: 31014405, dt: 4523, ENC_DEG: 77.37, REF:  0.00, VEL_RAW: -9.72, VEL_AVG: -16.79, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.3499732 N:  111, t: 31048511, dt: 3750, ENC_DEG: 76.82, REF:  0.00, VEL_RAW: -46.88, VEL_AVG: -20.03, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.3559532 N:  113, t: 31145336, dt: 2946, ENC_DEG: 75.17, REF:  0.00, VEL_RAW: -14.91, VEL_AVG: -17.02, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.3609536 N:  115, t: 31213116, dt: 2738, ENC_DEG: 74.29, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -14.74, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.3678205 N:  116, t: 31273439, dt: 60323, ENC_DEG: 73.39, REF:  0.00, VEL_RAW: -14.93, VEL_AVG: -15.17, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.3728812 N:  117, t: 31276399, dt: 2960, ENC_DEG: 73.28, REF:  0.00, VEL_RAW: -37.12, VEL_AVG: -17.52, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.3788817 N:  118, t: 31281700, dt: 5301, ENC_DEG: 73.15, REF:  0.00, VEL_RAW: -24.87, VEL_AVG: -17.69, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.3860083 N:  119, t: 31284599, dt: 2899, ENC_DEG: 73.08, REF:  0.00, VEL_RAW: -22.74, VEL_AVG: -18.65, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010456.4533904 N:  120, t: 31291152, dt: 6553, ENC_DEG: 73.02, REF:  0.00, VEL_RAW: -10.06, VEL_AVG: -16.20, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
