1746003089.0662377 N:   71, t: 30835259, dt: 19166, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  3.44, VEL_AVG: -0.05, I: -11.49, D:  0.29, VEL_OUT: -20.61, MS_MPC: 24448.24, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.03, gy:  0.55, gz:  1.28, OX:  0.10
1746003089.0721908 N:   72, t: 30853499, dt: 18240, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -11.54, D: -0.00, VEL_OUT: -23.65, MS_MPC: 24448.24, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.03, gy:  0.98, gz:  1.40, OX:  0.06
1746003089.0791695 N:   73, t: 30877751, dt: 24252, ENC_DEG: 15.51, REF:  0.00, VEL_RAW: -0.91, VEL_AVG: -0.02, I: -11.57, D:  0.03, VEL_OUT: -23.07, MS_MPC: 24443.73, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.27, gy:  0.92, gz:  1.34, OX: -0.06
1746003089.0841553 N:   75, t: 30917465, dt: 19399, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  2.27, VEL_AVG: -0.10, I: -11.96, D:  0.19, VEL_OUT: -23.04, MS_MPC: 24443.73, ax: -0.00, ay:  0.00, az:  1.00, gx:  1.07, gy:  0.06, gz:  0.61, OX: -0.00
1746003089.125419  N:   76, t: 30934566, dt: 17101, ENC_DEG: 15.56, REF:  0.00, VEL_RAW:  2.57, VEL_AVG:  0.11, I: -12.07, D: -0.01, VEL_OUT: -25.40, MS_MPC: 24452.77, ax: -0.00, ay:  0.01, az:  1.01, gx:  1.07, gy:  0.43, gz:  0.49, OX:  0.02
1746003089.1320689 N:   77, t: 30954140, dt: 19574, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -3.37, VEL_AVG: -0.34, I: -12.41, D: -0.23, VEL_OUT: -30.48, MS_MPC: 24439.20, ax:  0.00, ay:  0.01, az:  1.00, gx:  1.13, gy:  0.73, gz:  0.00, OX:  0.02
1746003089.1381872 N:   78, t: 30975005, dt: 20865, ENC_DEG: 15.58, REF:  0.00, VEL_RAW:  4.21, VEL_AVG:  0.41, I: -12.82, D: -0.07, VEL_OUT: -30.37, MS_MPC: 24457.29, ax:  0.02, ay:  0.01, az:  0.99, gx:  1.07, gy:  0.67, gz:  0.00, OX: -0.08
1746003089.2473843 N:   79, t: 30997716, dt: 22711, ENC_DEG: 15.51, REF:  0.00, VEL_RAW: -2.90, VEL_AVG:  0.16, I: -12.98, D:  0.24, VEL_OUT: -25.19, MS_MPC: 24443.73, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.95, gy:  0.37, gz:  0.18, OX: -0.04
1746003089.2533593 N:   80, t: 31014896, dt: 17180, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -1.28, VEL_AVG: -0.03, I: -13.01, D:  0.13, VEL_OUT: -25.03, MS_MPC: 24439.20, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.89, gy:  0.12, gz:  0.24, OX: -0.11
1746003089.3015394 N:   81, t: 31036485, dt: 21589, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -13.05, D:  0.00, VEL_OUT: -26.42, MS_MPC: 24439.20, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.52, gy:  0.12, gz:  0.49, OX:  0.02
