1745417321.7844255 N:   79, t: 44565424, dt: 18992, ENC_DEG: 29.18, REF:  0.00, VEL_RAW: -3.47, VEL_AVG: -0.31, I: -13.35, D: -0.22, VEL_OUT: -32.01, MS_MPC: 26970.07, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.67, gz:  0.00, OX:  0.02
1745417321.7906098 N:   80, t: 44584639, dt: 19215, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  3.43, VEL_AVG: -0.25, I: -13.60, D:  0.06, VEL_OUT: -29.03, MS_MPC: 26980.74, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.49, gz:  0.37, OX: -0.02
1745417321.8467648 N:   81, t: 44605551, dt: 20912, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -13.60, D:  0.24, VEL_OUT: -24.84, MS_MPC: 26980.74, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.55, gz:  0.31, OX: -0.00
1745417321.8517506 N:   82, t: 44626488, dt: 20937, ENC_DEG: 29.20, REF:  0.00, VEL_RAW: -2.10, VEL_AVG: -0.25, I: -13.85, D: -0.24, VEL_OUT: -32.57, MS_MPC: 26973.63, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.37, gz:  0.37, OX:  0.00
1745417321.857732  N:   83, t: 44645948, dt: 19460, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  3.39, VEL_AVG:  0.25, I: -14.09, D: -0.00, VEL_OUT: -30.67, MS_MPC: 26984.29, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.12, gz:  0.37, OX: -0.03
1745417321.8637314 N:   84, t: 44665273, dt: 19325, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -14.25, D:  0.09, VEL_OUT: -29.19, MS_MPC: 26984.29, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.24, gz:  0.43, OX:  0.01
1745417321.904453  N:   85, t: 44685565, dt: 20292, ENC_DEG: 29.20, REF:  0.00, VEL_RAW: -3.25, VEL_AVG: -0.21, I: -14.46, D: -0.05, VEL_OUT: -31.47, MS_MPC: 26973.63, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.18, gz:  0.43, OX:  0.04
1745417321.910518  N:   86, t: 44705805, dt: 20240, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.05, I: -14.51, D:  0.15, VEL_OUT: -28.04, MS_MPC: 26980.74, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.12, gz:  0.37, OX:  0.00
1745417321.964332  N:   87, t: 44724199, dt: 18394, ENC_DEG: 29.18, REF:  0.00, VEL_RAW: -3.58, VEL_AVG: -0.56, I: -15.08, D: -0.51, VEL_OUT: -40.87, MS_MPC: 26970.07, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.18, gz:  0.24, OX: -0.00
1745417321.970353  N:   88, t: 44747042, dt: 22843, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  3.85, VEL_AVG: -0.05, I: -15.13, D:  0.51, VEL_OUT: -25.70, MS_MPC: 26984.29, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.49, gy: -0.24, gz:  0.43, OX:  0.01
1745417321.9763312 N:   89, t: 44764399, dt: 17357, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -15.25, D: -0.07, VEL_OUT: -32.47, MS_MPC: 26984.29, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.18, gz:  0.43, OX:  0.02
1745417321.9833176 N:   90, t: 44785173, dt: 20774, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -15.29, D:  0.09, VEL_OUT: -30.05, MS_MPC: 26984.29, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.06, gz:  0.06, OX: -0.02
